City Name,City ID,Country,City Longitude,City Latitude,City Wind Speed,City Max Temperature,City Humidity,City Cloudiness,City Dates
Arlit,2447513,NE,7.3853,18.7369,12.26,89.26,4,0,1621982659
Hermanus,3366880,ZA,19.2345,-34.4187,7.31,57.9,74,51,1621982581
Hendek,745664,TR,30.7481,40.7994,1.95,50.32,81,3,1621982659
Dongsheng,1812256,CN,109.9776,39.8161,15.08,54.79,48,39,1621982659
Bathsheba,3374083,BB,-59.5167,13.2167,12.57,81.21,61,20,1621982595
Ushuaia,3833367,AR,-68.3,-54.8,18.41,31.66,86,75,1621982660
Bluff,2206939,NZ,168.3333,-46.6,6.26,42.91,57,70,1621982660
Cape Town,3369157,ZA,18.4232,-33.9258,1.99,58.12,82,0,1621982546
Faanui,4034551,PF,-151.75,-16.4833,11.3,81.05,71,74,1621982660
Saint-Philippe,935215,RE,55.7679,-21.3585,8.23,72.95,87,49,1621982661
Butaritari,2110227,KI,172.7902,3.0707,19.26,81.82,80,100,1621982661
North Platte,5697939,US,-100.7654,41.1239,4.0,79.02,29,1,1621982661
Atuona,4020109,PF,-139.0333,-9.8,13.73,80.01,62,25,1621982662
Hobart,2163355,AU,147.3294,-42.8794,1.01,51.22,80,75,1621982649
Punta Arenas,3874787,CL,-70.9167,-53.15,13.13,35.71,80,20,1621982662
Puerto Ayora,3652764,EC,-90.3518,-0.7393,5.99,84.16,87,34,1621982663
Tasiilaq,3424607,GL,-37.6368,65.6145,44.13,37.56,90,100,1621982663
Bethel,5282297,US,-73.414,41.3712,13.8,75.78,63,1,1621982663
Souillac,933995,MU,57.5167,-20.5167,8.99,71.98,88,20,1621982663
Gboko,2318374,NG,8.9951,7.3179,12.57,80.26,75,91,1621982664
Hilo,5855927,US,-155.09,19.7297,13.8,80.33,80,90,1621982664
Hong Kong,1819729,HK,114.1577,22.2855,1.01,85.32,89,78,1621982409
Shenjiamen,1795632,CN,122.298,29.9576,15.68,68.27,85,100,1621982664
Ilulissat,3423146,GL,-51.1,69.2167,6.91,35.62,60,16,1621982665
Mataura,6201424,NZ,168.8643,-46.1927,2.73,43.05,52,92,1621982665
Nikolskoye,546105,RU,30.7861,59.7035,5.35,48.09,83,99,1621982665
Te Anau,2181625,NZ,167.7167,-45.4167,1.77,44.82,65,78,1621982666
Khatanga,2022572,RU,102.5,71.9667,5.93,31.08,98,100,1621982666
Port Alfred,964432,ZA,26.891,-33.5906,13.6,64.27,88,71,1621982666
Katsuura,2112309,JP,140.3,35.1333,14.61,68.23,72,90,1621982667
Pevek,2122090,RU,170.3133,69.7008,1.83,32.49,86,99,1621982667
Fort Madison,4857507,US,-91.3151,40.6298,6.91,76.71,88,75,1621982667
Kruisfontein,986717,ZA,24.7314,-34.0033,5.91,55.89,94,77,1621982668
Port Hardy,6111862,CA,-127.4199,50.6996,8.05,53.78,71,90,1621982668
Qaanaaq,3831208,GL,-69.3632,77.484,5.28,32.65,77,8,1621982668
Llangefni,2644037,GB,-4.3106,53.2556,5.61,50.74,81,40,1621982669
San Quintín,3984997,MX,-115.95,30.4833,10.29,69.35,58,37,1621982669
Rikitea,4030556,PF,-134.9692,-23.1203,13.73,77.2,79,62,1621982669
Chui,3443061,UY,-53.4616,-33.6971,7.25,51.37,81,1,1621982670
San Rafael del Sur,3616594,NI,-86.4384,11.8485,15.17,86.27,58,80,1621982670
Latung,1707108,PH,120.8833,5.5,3.09,83.16,70,55,1621982670
Hithadhoo,1282256,MV,73.0833,-0.6,19.91,84.09,66,100,1621982671
Albany,5106841,US,-73.9662,42.6001,5.82,79.18,60,99,1621982550
Carnarvon,2074865,AU,113.6333,-24.8667,9.22,48.27,81,92,1621982671
Talnakh,1490256,RU,88.3972,69.4865,11.63,21.97,95,53,1621982671
Namatanai,2090021,PG,152.4333,-3.6667,6.04,78.37,89,100,1621982672
Port Lincoln,2063036,AU,135.8667,-34.7333,12.53,57.15,61,61,1621982672
Bama,2347954,NG,13.6856,11.5221,6.38,86.97,13,28,1621982672
Thompson,6165406,CA,-97.8558,55.7435,14.97,28.56,80,90,1621982673
North Myrtle Beach,4589446,US,-78.68,33.816,1.01,83.01,82,1,1621982673
Manta,3654410,EC,-80.7333,-0.95,12.66,80.38,69,40,1621982440
Avarua,4035715,CK,-159.775,-21.2078,8.05,82.45,83,40,1621982674
Iaciara,3461641,BR,-46.6317,-14.0958,2.35,77.7,45,18,1621982626
Mildura,2157698,AU,142.15,-34.2,6.91,47.07,93,0,1621982674
East London,1006984,ZA,27.9116,-33.0153,10.74,64.87,87,61,1621982674
Mirpur Mathelo,1170294,PK,69.5489,28.0227,1.36,92.25,16,0,1621982675
Chokurdakh,2126123,RU,147.9167,70.6333,9.28,36.46,75,60,1621982675
Bredasdorp,1015776,ZA,20.0403,-34.5322,5.48,52.92,76,88,1621982564
Alice Springs,2077895,AU,133.8833,-23.7,13.67,51.35,43,38,1621982675
Mahébourg,934322,MU,57.7,-20.4081,2.3,71.89,88,20,1621982676
Esperance,2071860,AU,121.9,-33.8667,9.82,49.84,82,38,1621982676
Sur,286245,OM,59.5289,22.5667,11.25,91.27,41,0,1621982676
Tiksi,2015306,RU,128.8694,71.6872,0.89,34.36,86,26,1621982677
Vila Velha,3445026,BR,-40.2925,-20.3297,5.99,73.35,79,75,1621982677
Saint George,5546220,US,-113.5841,37.1041,1.99,91.63,10,1,1621982677
Busselton,2075265,AU,115.3333,-33.65,9.78,44.1,78,100,1621982678
Kapaa,5848280,US,-159.319,22.0752,1.99,84.18,69,1,1621982678
Kasamwa,158289,TZ,32.4333,-2.85,4.0,62.38,80,92,1621982678
Capreol,5959803,CA,-80.9225,46.706,3.0,76.55,68,75,1621982585
Torbay,6167817,CA,-52.7314,47.6666,27.63,48.58,69,90,1621982679
Cowra,2170139,AU,148.6833,-33.8333,7.49,54.27,77,24,1621982679
Ostrovnoy,556268,RU,39.5131,68.0531,6.69,33.48,79,9,1621982679
Nishihara,1855342,JP,127.7558,26.1842,6.22,78.46,93,40,1621982680
Yellowknife,6185377,CA,-114.3525,62.456,3.0,47.28,39,20,1621982404
Porbandar,1259395,IN,69.6093,21.6422,13.62,82.38,82,32,1621982681
Westport,4845585,US,-73.3579,41.1415,1.99,76.6,74,1,1621982681
Port Macquarie,2152659,AU,152.9167,-31.4333,7.05,55.89,68,19,1621982547
Rawson,3839307,AR,-65.1023,-43.3002,4.05,48.45,41,74,1621982681
Murgab,1218612,TM,61.9714,37.4966,4.54,75.07,43,1,1621982682
Jamestown,5122534,US,-79.2353,42.097,13.8,83.52,47,20,1621982682
Liverpool,2644210,GB,-2.9779,53.4106,3.0,51.62,73,14,1621982438
Eyrarbakki,3413604,IS,-21.1481,63.863,16.8,48.25,89,85,1621982682
Kumul,1529484,CN,93.45,42.8,12.91,71.96,16,0,1621982683
Leça da Palmeira,2738348,PT,-8.7003,41.191,0.0,66.18,78,0,1621982683
Banda Aceh,1215502,ID,95.3222,5.5577,6.71,80.47,80,96,1621982683
Tessalit,2449893,ML,1.0114,20.1986,15.9,95.45,7,44,1621982684
Clyde River,5924351,CA,-68.5914,70.4692,25.32,26.83,93,100,1621982456
Mar del Plata,3430863,AR,-57.5575,-38.0023,10.0,52.09,61,0,1621982545
Severo-Kuril'sk,2121385,RU,156.125,50.6789,15.32,37.65,97,100,1621982684
Ballina,2177069,AU,153.5667,-28.8667,0.0,58.78,99,4,1621982685
Kalmunai,1242110,LK,81.8167,7.4167,3.69,78.73,75,99,1621982685
Ouégoa,2139259,NC,164.4333,-20.35,6.08,73.9,56,57,1621982685
Vestmanna,2610343,FO,-7.1664,62.1564,10.45,47.32,87,75,1621982686
Vaini,4032243,TO,-175.2,-21.2,4.61,69.96,94,90,1621982686
New Norfolk,2155415,AU,147.0587,-42.7826,1.99,50.88,74,68,1621982686
Imeni Poliny Osipenko,2023584,RU,136.4853,52.4201,12.12,33.01,100,100,1621982687
Cabo San Lucas,3985710,MX,-109.9124,22.8909,5.75,96.51,35,20,1621982687
Araouane,2460954,ML,-3.5265,18.9048,7.05,99.09,16,100,1621982687
Husavik,2629833,IS,-17.3389,66.0449,10.67,48.11,76,16,1621982688
Kavieng,2094342,PG,150.7967,-2.5744,8.08,79.41,86,100,1621982688
Baturaja,1649593,ID,104.1667,-4.1333,1.97,73.8,99,81,1621982688
Price,5545269,US,-110.8107,39.5994,9.22,75.72,17,90,1621982689
Mount Isa,2065594,AU,139.5,-20.7333,14.97,69.57,49,83,1621982689
Rocha,3440777,UY,-54.3333,-34.4833,6.55,47.7,73,0,1621982670
Carlyle,4235229,US,-89.3726,38.6103,5.99,86.07,54,97,1621982689
Palana,2122262,RU,159.9667,59.1167,7.61,38.39,71,100,1621982690
Partizanskoye,1495538,RU,94.39,55.5006,5.19,45.52,92,100,1621982690
Preobrazheniye,2017658,RU,133.9064,42.9019,10.16,56.17,56,13,1621982690
Chimbote,3698304,PE,-78.5783,-9.0853,5.79,66.61,86,7,1621982688
Fort Nelson,5955902,CA,-122.7002,58.8053,6.91,47.79,31,90,1621982691
Belaya Gora,2126785,RU,146.4167,68.5333,13.91,51.78,48,59,1621982691
Arraial do Cabo,3471451,BR,-42.0278,-22.9661,6.51,69.64,60,70,1621982692
Mpika,905846,ZM,31.4529,-11.8343,4.74,50.18,80,0,1621982692
Drayton Valley,5942547,CA,-114.9854,53.2168,8.46,51.91,60,100,1621982538
Raton,5486795,US,-104.4391,36.9034,6.78,74.01,7,1,1621982692
Nanortalik,3421765,GL,-45.2371,60.1432,10.63,34.43,72,49,1621982693
Oranjestad,3577154,AW,-70.027,12.524,7.0,84.15,75,20,1621982693
Mmathubudukwane,933347,BW,26.4333,-24.6,2.89,47.26,46,98,1621982693
Upernavik,3418910,GL,-56.1549,72.7868,5.19,36.09,83,95,1621982690
Delījān,136399,IR,50.6838,33.9905,9.91,71.76,30,10,1621982694
Longyearbyen,2729907,SJ,15.6401,78.2186,12.66,30.04,74,75,1621982694
Kota Belud,1736660,MY,116.4305,6.351,3.36,78.66,83,51,1621982694
Yuancheng,1786110,CN,107.7896,36.652,11.77,64.13,39,100,1621982695
Fasa,134721,IR,53.6482,28.9383,0.0,69.04,26,0,1621982695
Maceió,3395981,BR,-35.7353,-9.6658,11.18,78.24,88,20,1621982660
Pontes e Lacerda,3453060,BR,-59.3353,-15.2261,4.05,76.05,61,15,1621982696
Araceli,1730272,PH,119.9913,10.5529,4.07,82.02,76,94,1621982696
Novozaimka,1496588,RU,66.9241,56.4857,10.67,61.92,67,24,1621982696
Cockburn Town,3576994,TC,-71.1419,21.4612,13.8,80.56,69,40,1621982697
Guerrero Negro,4021858,MX,-114.0611,27.9769,14.0,71.44,53,57,1621982697
The Valley,3573374,AI,-63.0578,18.217,15.43,84.06,74,19,1621982697
Zhigansk,2012530,RU,123.3711,66.7697,4.03,48.69,56,100,1621982697
Marystown,6067472,CA,-55.1483,47.1666,20.92,44.37,78,100,1621982698
Ternate,1624041,ID,127.4,0.8,4.79,82.47,76,92,1621982698
Tuktoyaktuk,6170031,CA,-133.0374,69.4541,9.22,30.2,80,90,1621982681
Rusape,882100,ZW,32.1284,-18.5278,3.02,45.27,57,0,1621982699
Luwuk,1637001,ID,122.7875,-0.9516,4.56,79.21,81,90,1621982699
Boende,218680,CD,20.8667,-0.2167,3.31,77.86,69,100,1621982699
Cidreira,3466165,BR,-50.2056,-30.1811,9.75,57.4,68,0,1621982699
Ullal,1253888,IN,74.85,12.8,3.62,76.15,94,75,1621982700
Jalu,86049,LY,21.5482,29.0331,4.72,81.79,11,0,1621982700
Barrow,5880054,US,-156.7887,71.2906,6.91,26.62,86,90,1621982405
Saint Paul Harbor,5866583,US,-152.4072,57.79,6.91,54.91,50,1,1621982449
Porto Seguro,3452640,BR,-39.0647,-16.4497,5.75,79.32,73,40,1621982701
Bukama,217834,CD,25.85,-9.2,3.38,61.57,61,1,1621982701
Fuling,1810979,CN,107.3919,29.7022,0.96,61.99,98,100,1621982665
Klaksvík,2618795,FO,-6.589,62.2266,17.05,49.12,91,96,1621982702
Bajos de Haina,3512128,DO,-70.0332,18.4154,5.41,84.16,94,75,1621982704
Dikson,1507390,RU,80.5464,73.5069,6.82,20.23,95,78,1621982704
Boa Vista,3664980,BR,-60.6733,2.8197,5.75,78.78,83,75,1621982704
Pyaozerskiy,503581,RU,31.1667,65.8333,1.63,34.97,93,12,1621982705
Udachny,2014624,RU,112.4,66.4167,10.89,45.05,76,95,1621982705
City of San Pedro,1688781,PH,121.0167,14.35,3.29,83.43,78,20,1621982705
Wawa,2319078,NG,4.4192,9.9022,10.69,84.04,62,37,1621982706
Bobo-Dioulasso,2362344,BF,-4.2979,11.1771,4.61,81.05,78,0,1621982706
Dicabisagan,1715015,PH,122.4157,17.0818,0.69,83.53,70,7,1621982706
Bambous Virieux,1106677,MU,57.7575,-20.3428,9.28,71.85,88,20,1621982707
Clarence Town,2171465,AU,151.7833,-32.5833,4.38,64.56,64,81,1621982707
São João da Barra,3448903,BR,-41.0511,-21.6403,8.23,68.95,71,59,1621982707
Mbandaka,2312895,CD,18.2603,0.0487,4.07,73.62,84,97,1621982707
Apac,235130,UG,32.5386,1.9756,4.14,64.67,95,35,1621982708
Vila Franca do Campo,3372472,PT,-25.4333,37.7167,9.69,66.61,85,100,1621982708
Mount Gambier,2156643,AU,140.7667,-37.8333,16.11,51.71,66,75,1621982709
Hornepayne,5977046,CA,-84.7705,49.2138,13.8,73.85,60,87,1621982709
Klaeng,1609610,TH,101.6483,12.7797,7.27,81.16,92,100,1621982709
Kirakira,2178753,SB,161.9205,-10.4544,10.2,81.0,68,89,1621982710
Camacha,2270385,PT,-16.3333,33.0833,17.27,62.53,59,75,1621982710
Plettenberg Bay,964712,ZA,23.3716,-34.0527,4.99,58.95,88,99,1621982710
Yulara,6355222,AU,130.9889,-25.2406,5.75,44.44,57,62,1621982710
Kaitangata,2208248,NZ,169.8464,-46.2817,3.09,43.65,50,100,1621982711
Acheng,2038679,CN,126.977,45.5454,9.55,57.13,35,67,1621982711
Bayir,304183,TR,28.2167,37.2687,3.38,59.52,44,0,1621982711
Rancho Palos Verdes,5386035,US,-118.387,33.7445,16.11,94.98,69,75,1621982518
Bollnäs,2720679,SE,16.3946,61.3482,8.03,45.39,91,100,1621982712
Puro,1692364,PH,123.3827,12.4841,5.84,82.94,76,79,1621982712
Lagoa,3372964,PT,-27.9833,39.05,19.73,63.41,88,100,1621982712
Martaban,1310460,MM,97.6111,16.5314,6.33,76.57,93,100,1621982713
Abhā,110690,SA,42.5053,18.2164,4.23,69.62,46,20,1621982529
Kokoda,2093691,PG,147.7407,-8.8785,1.45,79.68,79,98,1621982713
Coyhaique,3894426,CL,-72.0662,-45.5752,5.75,39.81,87,90,1621982713
Juneau,5554072,US,-134.4197,58.3019,4.29,59.0,69,90,1621982704
Benito Juarez,3827406,MX,-99.165,19.385,9.93,86.34,38,90,1621982714
Tahoua,2439376,NE,5.2692,14.8888,1.86,85.98,10,1,1621982714
Dunedin,2191562,NZ,170.5036,-45.8742,4.05,48.29,41,100,1621982715
Yangjiang,1806408,CN,111.9667,21.85,2.51,79.61,88,47,1621982715
Leningradskiy,2123814,RU,178.4167,69.3833,10.0,34.83,89,82,1621982698
Aloleng,1731298,PH,119.7824,16.1307,2.95,83.21,73,9,1621982715
Qandala,53157,SO,49.8728,11.472,3.36,85.39,70,4,1621982716
Ancud,3899695,CL,-73.8203,-41.8697,22.66,51.42,96,100,1621982716
Dingle,1714733,PH,122.6711,10.9995,2.71,80.44,82,100,1621982716
Provideniya,4031574,RU,-173.3,64.3833,15.66,46.51,57,0,1621982563
Inhambane,1045114,MZ,35.3833,-23.865,1.19,64.69,75,1,1621982717
Rochester,5134086,US,-77.6156,43.1548,20.71,84.34,37,75,1621982673
Nelson Bay,2155562,AU,152.15,-32.7167,5.48,64.69,85,74,1621982717
Sangar,2017215,RU,127.4739,63.9242,3.31,54.91,58,88,1621982717
Chippenham,2653144,GB,-2.1247,51.46,6.15,47.71,92,44,1621982718
Hobyo,57000,SO,48.5268,5.3505,23.58,78.01,82,37,1621982718
Kampong Thom,1831125,KH,104.8887,12.7111,4.65,74.23,97,100,1621982718
Mitsamiouli,921786,KM,43.2844,-11.3847,9.13,77.65,71,25,1621982719
Weligama,1223738,LK,80.4167,5.9667,17.36,79.81,84,99,1621982719
Livermore,5367440,US,-121.768,37.6819,7.0,81.59,42,1,1621982719
Huilong,1806840,CN,121.655,31.8111,12.75,75.04,84,100,1621982720
Phan Thiet,1571058,VN,108.1,10.9333,7.09,76.46,88,100,1621982574
Flinders,6255012,AU,150.8552,-34.5833,8.28,63.37,61,32,1621982720
Bengkulu,1649150,ID,102.2655,-3.8004,2.53,76.87,86,74,1621982720
Sidi Ali,2487130,DZ,0.4206,36.0998,9.35,65.53,72,84,1621982721
Tautira,4033557,PF,-149.15,-17.7333,5.77,87.82,74,59,1621982721
Owando,2255542,CG,15.8999,-0.4819,3.38,73.31,89,85,1621982721
Bawku,2303287,GH,-0.2417,11.0616,8.1,88.2,49,54,1621982722
Abu Kamal,174448,SY,40.9171,34.4506,20.04,83.07,26,3,1621982722
Río Gallegos,3838859,AR,-69.2181,-51.6226,17.27,37.45,70,0,1621982491
Nador,2541479,MA,-2.9287,35.174,10.38,68.07,82,75,1621982722
Codrington,2171099,AU,141.9667,-38.2667,21.07,52.93,61,97,1621982723
Lata,2738381,PT,-8.3327,40.1629,1.86,61.72,81,100,1621982723
Shakawe,933077,BW,21.85,-18.3667,3.91,53.56,56,0,1621982723
Luanda,2240449,AO,13.2343,-8.8368,8.05,77.0,88,0,1621982509
Hamilton,4513583,US,-84.5333,39.1834,4.5,87.19,44,1,1621982689
Pisco,3932145,PE,-76.2167,-13.7,6.91,66.25,88,75,1621982690
Miguel Hidalgo,3827408,MX,-99.2028,19.4225,12.26,85.93,38,90,1621982724
Shīeli,1524801,KZ,66.75,44.1667,4.72,75.36,41,74,1621982724
Sultānpur,1255491,IN,82.0667,26.2667,7.0,84.24,68,45,1621982725
Turukhansk,1488903,RU,87.9833,65.8167,17.18,27.72,77,90,1621982725
Castro,3466704,BR,-50.0119,-24.7911,1.01,49.62,61,43,1621982564
Los Llanos de Aridane,2514651,ES,-17.9182,28.6585,18.05,64.15,71,40,1621982726
Leh,1264976,IN,77.5833,34.1667,2.17,41.23,53,95,1621982726
Panguipulli,3877348,CL,-72.3333,-39.6333,2.28,53.31,99,100,1621982726
Ahipara,2194098,NZ,173.1667,-35.1667,10.38,59.41,63,35,1621982726
Ribeira Grande,3372707,PT,-28.7,38.5167,17.6,64.51,92,100,1621982698
Kutulik,2021116,RU,102.7839,53.3508,8.12,43.97,90,100,1621982727
Mazagão,3395042,BR,-51.2894,-0.115,4.0,75.97,91,99,1621982727
Lanigan,6049515,CA,-105.0344,51.8501,15.19,44.49,66,100,1621982727
Bayāna,1276652,IN,77.2833,26.9,2.62,86.94,17,75,1621982728
Aswān,359792,EG,32.907,24.0934,9.53,84.15,14,0,1621982728
Olenino,515687,RU,33.4889,56.2092,5.7,49.71,85,98,1621982728
Bafra,751335,TR,35.9069,41.5678,2.89,55.18,76,0,1621982729
Ca Mau,1586443,VN,105.15,9.1769,8.97,76.59,94,100,1621982729
Taltal,3870243,CL,-70.4833,-25.4,5.14,68.43,57,70,1621982729
Valvedditturai,1225142,LK,80.1667,9.8167,22.68,82.24,79,100,1621982730
George Town,1735106,MY,100.3354,5.4112,3.0,82.89,83,20,1621982730
Romulus,5007531,US,-83.3966,42.2223,19.57,88.0,40,75,1621982698
Mindelo,3374462,CV,-24.9804,16.8901,18.19,72.95,73,20,1621982730
Dire Dawa,338832,ET,41.8661,9.5931,16.93,69.57,63,39,1621982731
Montecchio Maggiore,3172979,IT,11.412,45.5037,4.76,58.95,74,44,1621982731
Mt. Pleasant,4588165,US,-79.8626,32.7941,3.0,89.74,71,1,1621982676
Kosino,544119,RU,51.2782,58.4127,5.68,46.92,89,47,1621982732
Lebu,3883457,CL,-73.65,-37.6167,1.32,55.51,87,93,1621982732
Antalaha,1071296,MG,50.2788,-14.9003,5.32,68.59,89,10,1621982732
Sayyan,70979,YE,44.3244,15.1718,1.7,64.58,37,1,1621982733
Agadez,2448083,NE,10.25,19.75,9.75,85.69,7,0,1621982733
Coxim,3465228,BR,-54.76,-18.5067,3.42,73.29,66,36,1621982733
Mana,3381041,GF,-53.7767,5.6592,5.97,78.39,92,100,1621982734
Homer,5864145,US,-151.5483,59.6425,16.11,67.08,58,1,1621982734
Alta Floresta,6316343,BR,-56.0861,-9.8756,3.94,75.65,74,70,1621982734
San Cristobal,3628473,VE,-72.225,7.7669,4.56,77.18,99,100,1621982735
Ponta do Sol,2264557,PT,-17.1,32.6667,6.78,66.0,55,69,1621982735
Aykhal,2027296,RU,111.5,66.0,7.4,42.01,86,80,1621982735
Yuxia,1785572,CN,108.6291,34.0615,3.6,63.21,58,92,1621982735
Paris,2988507,FR,2.3488,48.8534,6.73,51.39,91,75,1621982302
Saldanha,3361934,ZA,17.9442,-33.0117,3.58,50.05,81,9,1621982736
Agarak,175007,AM,46.5446,39.2068,0.38,59.65,59,98,1621982736
Damphu,1337281,BT,90.1096,27.0721,4.07,66.92,96,100,1621982737
Inverell,2162662,AU,151.1167,-29.7833,3.0,51.15,83,22,1621982737
Iqaluit,5983720,CA,-68.5145,63.7506,24.0,28.13,86,90,1621982737
Ayagoz,1525988,KZ,80.4392,47.9714,8.77,59.58,64,1,1621982738
Tigzirt,2476660,DZ,4.1198,36.8886,15.14,62.44,84,94,1621982738
Balkanabat,161616,TM,54.3671,39.5108,8.21,80.73,33,100,1621982738
Anadyr,2127202,RU,177.4833,64.75,24.0,45.1,65,40,1621982739
Mareeba,2158767,AU,145.4333,-17.0,2.1,66.33,95,85,1621982739
Panjāb,1131162,AF,67.0233,34.388,4.85,47.8,33,0,1621982739
Kamaishi,2112444,JP,141.8833,39.2667,3.4,57.83,66,35,1621982739
Lagunas,3695844,PE,-75.6753,-5.2269,1.99,74.7,96,80,1621982740
Kaeo,2189343,NZ,173.7833,-35.1,14.27,56.32,84,49,1621982740
Demba,217389,CD,22.2667,-5.51,2.77,66.78,61,36,1621982740
San Felipe,3628423,VE,-68.7425,10.3399,5.7,74.79,85,100,1621982741
Basco,1726449,PH,121.9702,20.4487,9.33,84.38,61,6,1621982741
Bethanien,3358416,NA,17.1583,-26.502,0.36,60.46,44,0,1621982741
Manokwari,1636308,ID,134.0833,-0.8667,5.61,76.01,94,100,1621982742
Ishigaki,1861416,JP,124.1572,24.3448,9.22,82.53,83,40,1621982742
Sulangan,1685422,PH,123.7228,11.1373,2.06,81.28,81,100,1621982743
Touros,3386213,BR,-35.4608,-5.1989,12.21,79.7,81,64,1621982580
