City Name,City ID,Country,City Longitude,City Latitude,City Wind Speed,City Max Temperature,City Humidity,City Cloudiness,City Dates
Oga,3175788,IT,10.347,46.4631,1.7,41.68,74,39,1621982694
Guarapari,3461888,BR,-40.4975,-20.6667,2.75,73.29,74,91,1621982743
Hasaki,2112802,JP,140.8333,35.7333,9.82,68.4,66,99,1621982743
Shingū,1847947,JP,135.9833,33.7333,2.62,65.91,49,67,1621982744
Chivay,3943626,PE,-71.6011,-15.6383,4.56,42.71,90,94,1621982744
Manicoré,3663503,BR,-61.3003,-5.8092,0.89,77.63,87,96,1621982744
Bilma,2446796,NE,12.9164,18.6853,5.39,87.4,7,0,1621982681
Itaituba,3397967,BR,-55.9836,-4.2761,2.71,78.57,81,56,1621982745
Hannibal,4389418,US,-91.3585,39.7084,8.05,74.34,73,1,1621982745
Grindavik,3416888,IS,-22.4338,63.8424,27.0,48.15,81,75,1621982745
Krasnofarfornyy,542400,RU,31.8502,59.1364,5.95,45.57,80,98,1621982746
Longhua,1802618,CN,114.1919,23.6137,0.87,78.51,92,73,1621982746
Busembatia,234092,UG,33.6131,0.7697,4.41,63.21,91,62,1621982746
Lüderitz,3355672,NA,15.1594,-26.6481,7.0,61.54,70,0,1621982747
Ambilobe,1082243,MG,49.05,-13.2,2.82,67.64,92,25,1621982747
Raudeberg,3146487,NO,5.1352,61.9875,13.2,52.47,85,100,1621982747
Cayenne,3382160,GF,-52.3333,4.9333,3.0,80.64,87,0,1621982748
Canmore,5914894,CA,-115.3521,51.0834,2.8,47.75,88,100,1621982705
Hanchuan,1808977,CN,113.7667,30.65,6.51,66.31,98,100,1621982748
Rudraprayāg,1258003,IN,78.9833,30.2833,5.44,68.9,47,0,1621982748
Pangnirtung,6096551,CA,-65.7125,66.1451,9.22,30.2,69,90,1621982749
Al Bardīyah,80509,LY,25.0865,31.7561,3.15,72.91,48,0,1621982749
Wenling,1791464,CN,121.36,28.3669,6.8,70.92,83,87,1621982750
Oktyabr'skoye,515805,RU,44.7417,43.0645,4.72,53.74,100,100,1621982750
Dunkwa,2301400,GH,-1.78,5.9656,2.86,75.11,97,92,1621982750
Bologoye,575349,RU,34.1068,57.8799,3.94,47.53,85,100,1621982750
Petropavlovsk-Kamchatskiy,2122104,RU,158.6483,53.0452,9.75,43.39,61,97,1621982751
Arrondissement de Bastia,3034639,FR,9.3333,42.6667,8.01,61.3,57,0,1621982751
Kamiiso,2129766,JP,140.65,41.8167,10.45,55.78,76,20,1621982751
Novosergiyevka,517982,RU,53.6528,52.0934,19.48,58.42,72,77,1621982752
Tuatapere,2180815,NZ,167.6833,-46.1333,4.07,45.84,58,76,1621982663
Adrar,2381972,MR,-10.0711,20.5022,15.14,87.62,21,89,1621982752
Kiryat Gat,293842,IL,34.7642,31.61,2.62,78.4,55,0,1621982752
Kavaratti,1267390,IN,72.642,10.5669,15.88,83.25,75,100,1621982680
Fairbanks,5861897,US,-147.7164,64.8378,14.97,68.09,33,75,1621982655
Inongo,2315417,CD,18.2667,-1.95,5.19,72.12,85,100,1621982753
Pryazha,504409,RU,33.6216,61.6926,4.52,37.67,87,95,1621982753
Gizo Government Station,2108857,SB,156.8419,-8.103,20.24,81.79,81,100,1621982754
Norman Wells,6089245,CA,-126.8329,65.282,12.66,60.84,23,20,1621982754
Hambantota,1244926,LK,81.1185,6.1241,22.37,81.03,74,95,1621982754
Port Elizabeth,964420,ZA,25.5701,-33.918,11.5,61.09,88,0,1621982755
Meulaboh,1214488,ID,96.1285,4.1363,5.08,77.63,86,92,1621982587
Geraldton,2070998,AU,114.6,-28.7667,15.3,50.41,76,75,1621982755
Vadnagar,1253577,IN,72.6333,23.7833,11.65,83.19,65,21,1621982756
Tortolì,2522890,IT,9.6572,39.9256,9.22,64.22,55,0,1621982756
Maumere,1635815,ID,122.2111,-8.6199,3.24,79.29,76,16,1621982756
Whyalla,2058430,AU,137.5833,-33.0333,9.22,44.49,100,43,1621982756
Odesa,698740,UA,30.7326,46.4775,0.0,53.53,100,61,1621982757
Tomatlán,3981391,MX,-105.25,19.9333,13.87,91.33,35,0,1621982757
Marsá Maţrūḩ,352733,EG,27.2453,31.3525,4.61,68.2,77,0,1621982757
Matagami,6067747,CA,-77.6328,49.7502,8.93,73.51,64,1,1621982758
Aklavik,5882953,CA,-135.0107,68.2191,8.05,41.72,70,75,1621982537
Khorramshahr,127319,IR,48.1664,30.4397,2.3,82.36,39,0,1621982758
Marabu,1738050,MY,114.0089,4.4148,4.59,77.14,94,20,1621982581
Berlevåg,780687,NO,29.0864,70.8578,7.96,36.21,71,39,1621982759
Yueyang,1927639,CN,113.0919,29.3333,5.3,66.94,96,100,1621982759
Vung Tau,1562414,VN,107.0843,10.346,8.28,79.18,84,100,1621982573
Palestine,6254930,PS,35.2033,31.9216,2.84,69.94,43,0,1621982759
Maan,1704800,PH,124.7356,5.9339,2.82,80.78,83,99,1621982760
Manapparai,1263952,IN,78.4167,10.6,8.37,79.39,71,100,1621982760
Mandera,187896,KE,41.867,3.9366,11.56,76.96,54,8,1621982761
Hofn,2630299,IS,-15.2082,64.2539,12.19,44.04,87,55,1621982761
Kutum,371745,SD,24.6667,14.2,2.42,78.17,24,94,1621982761
Mandalgovi,2030065,MN,106.2708,45.7625,14.09,42.4,66,38,1621982762
Maniitsoq,3421982,GL,-52.9,65.4167,12.73,32.05,73,14,1621982762
Marand,124862,IR,45.7749,38.4329,3.24,55.74,72,69,1621982762
Sioux Lookout,6148373,CA,-91.917,50.1001,14.97,71.67,40,75,1621982763
Celestún,3531368,MX,-90.4,20.8667,16.64,85.6,67,47,1621982763
Cairns,2172797,AU,145.7667,-16.9167,10.36,70.95,96,90,1621982763
Ágfalva,3056380,HU,16.5166,47.6899,5.1,48.15,84,49,1621982764
Panzhihua,6929460,CN,101.7128,26.5851,0.78,71.58,73,95,1621982764
Acapulco de Juárez,3533462,MX,-99.8901,16.8634,11.1,87.75,51,83,1621982764
Kenai,5866063,US,-151.2583,60.5544,10.36,67.03,49,1,1621982765
Aripuanã,3665202,BR,-60.6333,-9.1667,2.51,77.86,74,89,1621982765
Kahului,5847411,US,-156.47,20.8947,19.57,87.82,61,75,1621982766
Chapais,5919850,CA,-74.8492,49.7834,8.81,65.98,87,100,1621982766
Sørland,3137469,NO,12.6934,67.667,23.44,42.78,75,0,1621982766
Olafsvik,3414079,IS,-23.7142,64.8945,16.4,46.45,80,93,1621982767
Chudovo,567774,RU,31.6833,59.1167,5.86,45.28,80,98,1621982767
Vanimo,2084442,PG,141.3028,-2.6741,3.78,80.55,84,79,1621982767
Vaitape,4033077,PF,-151.75,-16.5167,11.23,81.05,71,72,1621982767
Karaidel',552862,RU,56.9069,55.8337,10.4,50.68,90,48,1621982768
Usmajac,3980756,MX,-103.5667,19.8667,3.85,80.42,19,22,1621982768
Balabac,1728675,PH,117.0645,7.9868,4.81,81.95,78,25,1621982768
Sesheke,898905,ZM,24.2968,-17.4759,4.16,55.22,61,0,1621982769
Krasnoarmeysk,542464,RU,45.6969,51.0239,12.5,58.3,86,56,1621982769
Yorkton,6185607,CA,-102.4677,51.2167,23.02,44.44,70,90,1621982769
Sabha,2212775,LY,14.4283,27.0377,7.52,89.94,10,0,1621982762
North Bend,5742974,US,-124.2243,43.4065,11.5,63.95,82,90,1621982770
Puri,1259184,IN,85.85,19.8,31.97,78.39,91,100,1621982770
Lethem,3379316,GY,-59.7968,3.3803,7.92,77.45,91,99,1621982770
Broome,5110365,US,-75.833,42.2506,5.99,77.58,71,1,1621982771
Santa Cruz de Tenerife,2511174,ES,-16.2546,28.4682,11.01,69.71,69,40,1621982771
Sabang,1214026,ID,95.3214,5.8933,11.27,83.21,76,99,1621982771
Shimoda,1852357,JP,138.95,34.6667,11.43,72.1,54,66,1621982772
Springdale,4132093,US,-94.1288,36.1867,11.01,72.19,93,90,1621982758
Tromsø,6453316,NO,18.957,69.6496,13.8,39.85,65,75,1621982636
Padang,1633419,ID,100.3543,-0.9492,4.25,78.08,86,95,1621982472
Gushikawa,1863495,JP,127.8686,26.3544,5.99,78.39,83,75,1621982772
Morros,3394372,BR,-46.3003,-9.4467,0.51,76.12,38,2,1621982773
Kununurra,2068110,AU,128.7333,-15.7667,0.0,71.58,83,2,1621982773
Palizada,3522156,MX,-92.0833,18.25,7.9,85.98,50,100,1621982773
Waddān,2209055,LY,16.139,29.1614,8.57,84.18,17,1,1621982773
Zhezkazgan,1516589,KZ,67.7144,47.8043,9.42,72.95,33,24,1621982774
Sinnamary,3380290,GF,-52.95,5.3833,6.11,78.64,91,100,1621982774
Erdenet,2031405,MN,104.0833,49.0333,3.31,42.84,73,100,1621982775
Green River,5826559,US,-109.4662,41.5286,21.41,66.18,42,84,1621982775
Marrakesh,2542997,MA,-8.0083,31.6315,4.61,69.87,56,0,1621982775
Nara,1855612,JP,135.8049,34.6851,5.23,65.5,41,93,1621982776
Tegul'det,1489822,RU,88.1667,57.3064,3.06,42.33,94,99,1621982776
Shwebo,1296736,MM,95.7,22.5667,14.97,81.23,71,100,1621982776
Kirkkonummi,649630,FI,24.4385,60.1238,1.99,52.05,76,100,1621982776
Vardø,777019,NO,31.1107,70.3705,8.77,34.0,70,50,1621982777
Englewood,5421250,US,-104.9878,39.6478,1.99,78.71,27,20,1621982532
Magalia,5369690,US,-121.5783,39.8121,7.27,78.03,19,1,1621982777
Oranjemund,3354071,NA,16.4333,-28.55,3.85,57.6,97,27,1621982778
Manaquiri,3663524,BR,-60.35,-3.3167,2.46,82.89,91,78,1621982778
Smithers,6149996,CA,-127.1743,54.7804,9.22,61.12,39,75,1621982704
Klyuchi,1503153,RU,79.1667,52.2667,2.82,72.01,37,4,1621982778
Lalibela,332288,ET,39.0333,12.0333,6.17,62.74,35,10,1621982779
Sibolga,1213855,ID,98.7792,1.7427,3.51,76.68,89,89,1621982779
Flin Flon,5954718,CA,-101.865,54.7682,16.31,33.64,75,90,1621982705
Merrill,5262680,US,-89.6835,45.1805,9.22,80.37,68,75,1621982779
Kampot,1831112,KH,104.1833,10.6167,10.63,78.85,93,100,1621982780
Tiznit Province,2527087,MA,-9.5,29.5833,3.49,63.52,72,100,1621982780
Nabire,1634614,ID,135.4833,-3.3667,0.78,78.87,90,100,1621982780
Cap-aux-Meules,5915327,CA,-61.8597,47.3821,25.32,55.45,71,75,1621982781
San Angelo,5530022,US,-100.437,31.4638,8.01,92.28,47,1,1621982781
Comodoro Rivadavia,3860443,AR,-67.5,-45.8667,4.61,44.46,57,0,1621982781
Abonnema,2324433,NG,6.7931,4.7084,5.23,77.29,91,100,1621982781
Grand Gaube,934479,MU,57.6608,-20.0064,1.99,72.0,81,8,1621982782
Semey,1519422,KZ,80.2275,50.4111,5.86,70.25,48,7,1621982782
Coquimbo,3893629,CL,-71.3436,-29.9533,4.99,58.73,77,0,1621982596
Piney Green,4485355,US,-77.3202,34.716,8.43,81.95,68,40,1621982782
Simao,1794209,CN,100.9748,22.7886,2.39,64.53,96,68,1621982783
Soc Trang,1567788,VN,105.98,9.6033,5.44,75.16,92,99,1621982783
Acaraú,3408368,BR,-40.12,-2.8856,13.42,78.82,77,31,1621982784
Ixtapa,4004293,MX,-105.2,20.7,13.8,83.23,78,40,1621982784
Warrnambool,2144528,AU,142.4833,-38.3833,23.96,53.82,57,96,1621982784
Saskylakh,2017155,RU,114.0833,71.9167,4.85,48.16,61,98,1621982784
Les Cayes,3728097,HT,-73.75,18.2,7.38,80.46,80,45,1621982785
Saint-Joseph,6690296,RE,55.6167,-21.3667,8.05,71.96,84,31,1621982785
Labuhan,8079926,ID,112.2051,-6.8844,6.06,77.18,87,20,1621982785
Quatre Cocos,1106643,MU,57.7625,-20.2078,9.13,71.71,76,19,1621982786
Birjand,140463,IR,59.2211,32.8663,6.91,70.27,14,0,1621982786
Narsaq,3421719,GL,-46.05,60.9167,4.54,41.22,69,56,1621982786
Ketchikan,5554428,US,-131.6461,55.3422,8.14,49.69,76,90,1621982787
Savinka,498295,RU,47.0994,50.0785,17.6,60.33,67,98,1621982787
São Sebastião,3448257,BR,-45.4097,-23.76,6.33,62.74,78,77,1621982787
Port Shepstone,964406,ZA,30.455,-30.7414,5.48,66.43,46,100,1621982788
Warrington,2634739,GB,-2.5802,53.3925,5.01,51.8,87,14,1621982788
Magnitka,532292,RU,59.6961,55.3475,7.52,58.3,91,27,1621982788
Caluquembe,3351024,AO,14.6833,-13.7833,0.13,55.58,49,1,1621982789
Walvis Bay,3359638,NA,14.5053,-22.9575,14.2,58.15,82,0,1621982789
Sawtell,2150163,AU,153.1,-30.3833,4.61,62.62,72,3,1621982789
‘Ewa Beach,5855051,US,-158.0072,21.3156,11.99,85.37,59,20,1621982620
San Patricio,4726521,US,-97.5169,28.017,17.4,85.15,76,70,1621982787
Luchegorsk,2020689,RU,134.2569,46.4764,6.78,53.51,66,9,1621982703
Along,1278969,IN,94.7667,28.1667,1.41,70.63,97,94,1621982790
Soubre,2598243,CI,-6.6083,5.7856,3.0,75.45,96,94,1621982790
Buin,3897774,CL,-70.75,-33.7333,4.7,68.32,35,65,1621982791
Salalah,286621,OM,54.0924,17.0151,4.61,82.49,78,20,1621982688
Batemans Bay,2176639,AU,150.1833,-35.7167,6.26,61.92,55,1,1621982791
Moyale,186180,KE,39.0584,3.5167,7.29,63.36,79,41,1621982792
Djibo,2361177,BF,-1.6306,14.1022,5.14,98.01,22,84,1621982792
Carballo,3126369,ES,-8.691,43.213,5.64,54.86,86,100,1621982792
Lompoc,5367788,US,-120.4579,34.6391,19.57,83.37,62,1,1621982793
Ekhabi,2122614,RU,142.9671,53.5102,7.45,37.89,80,100,1621982793
Piaçabuçu,3454005,BR,-36.4344,-10.4056,7.31,76.62,82,19,1621982793
Yakeshi,2033536,CN,120.7333,49.2833,3.27,42.73,73,34,1621982771
Mayya,2020121,RU,130.2811,61.7333,3.29,47.52,49,26,1621982794
Port Keats,2063039,AU,129.55,-14.25,9.82,74.71,60,8,1621982794
Tilichiki,2120591,RU,166.1,60.4667,10.13,38.53,84,100,1621982794
Sibu,1735902,MY,111.8167,2.3,3.0,77.31,94,20,1621982795
Srednekolymsk,2121025,RU,153.6833,67.45,21.27,53.96,47,98,1621982748
Owase,1853514,JP,136.2,34.0667,1.97,67.87,47,86,1621982795
Lodja,211647,CD,23.4333,-3.4833,1.77,69.35,68,76,1621982541
Krasnosel'kup,1502073,RU,82.4667,65.7,7.94,29.86,65,15,1621982796
Dhidhdhoo,1337612,MV,73.1,6.8833,29.89,81.3,81,100,1621982796
Beringovskiy,2126710,RU,179.3167,63.05,6.82,32.67,99,100,1621982781
Beloha,1067565,MG,45.05,-25.1667,5.48,61.88,79,7,1621982796
Oodweyne,53372,SO,45.064,9.4092,12.59,73.15,57,18,1621982797
Esim,2303611,GH,-2.2405,4.8699,5.93,80.19,83,100,1621982797
Hualmay,3939761,PE,-77.6139,-11.0964,6.22,66.92,82,16,1621982797
Goderich,5962442,CA,-81.7165,43.7501,17.27,79.12,47,66,1621982533
Sitka,5557293,US,-135.33,57.0531,11.5,49.89,71,75,1621982770
Gamba,2400547,GA,10.0,-2.65,4.92,77.43,94,50,1621982798
Posadas,3429886,AR,-55.8961,-27.3671,5.75,64.38,63,0,1621982798
Ziro,1252668,IN,93.8333,27.6333,2.77,56.43,96,99,1621982798
Myanaung,1308204,MM,95.3167,18.2833,2.8,76.21,89,100,1621982799
Morgan City,4333811,US,-91.2068,29.6994,8.23,84.2,69,20,1621982799
Bandundu Province,2317397,CD,17.3667,-3.3167,1.66,75.11,66,96,1621982799
San Rafael,3836669,AR,-68.3301,-34.6177,4.59,57.69,41,42,1621982574
Tsumeb,3352593,NA,17.7167,-19.2333,7.78,45.95,40,2,1621982800
Ragandang,1691948,PH,124.1206,6.6639,1.77,79.7,83,100,1621982800
Saint Anthony,5044290,US,-93.218,45.0205,4.0,86.02,28,40,1621982801
Ranong,1150965,TH,98.6348,9.9658,7.63,78.76,85,100,1621982737
Delmas 73,3726786,HT,-72.3028,18.5447,10.36,86.72,62,40,1621982801
Port Blair,1259385,IN,92.75,11.6667,6.91,80.64,89,90,1621982801
Vera Cruz,3445307,BR,-41.0333,-12.6333,5.64,71.17,48,6,1621982802
Lodwar,189280,KE,35.5973,3.1191,15.88,83.77,47,55,1621982721
Yangi Marg`ilon,1513491,UZ,71.7189,40.4272,6.91,68.72,42,43,1621982802
Ust-Tsilma,477940,RU,52.1498,65.441,8.88,34.09,62,100,1621982802
Palencia,3114530,ES,-4.5,42.4167,8.43,48.92,86,91,1621982803
Hay River,5972762,CA,-115.7999,60.8156,8.05,35.56,60,20,1621982536
Santiago de Cao,3692073,PE,-79.2392,-7.9589,8.3,68.13,88,75,1621982585
Nchelenge,175499,ZM,28.734,-9.3451,6.98,62.15,65,1,1621982803
Iranshahr,1160939,IR,60.6848,27.2025,6.73,88.56,22,5,1621982787
Mabaruma,3377301,GY,-59.7833,8.2,3.69,74.14,98,76,1621982804
Sīwah,347863,EG,25.5195,29.2041,6.91,79.84,23,0,1621982804
Lorengau,2092164,PG,147.2712,-2.0226,6.26,78.35,90,100,1621982745
Yerbogachën,2012956,RU,108.0108,61.2767,6.46,36.03,84,100,1621982804
Lianran,1803886,CN,102.485,24.9227,2.77,63.14,92,55,1621982805
Pemba,1028918,MZ,40.5178,-12.974,10.0,72.3,88,20,1621982805
San Ramon,5392593,US,-121.978,37.7799,5.99,81.59,50,1,1621982672
Łęczna,766583,PL,22.8814,51.3012,11.05,52.11,100,100,1621982806
Mossamedes,3347019,AO,12.1522,-15.1961,2.62,74.17,68,0,1621982806
San Andrés,3670218,CO,-81.7006,12.5847,17.27,86.02,70,75,1621982806
Turiaçu,3385908,BR,-45.3717,-1.6633,4.9,76.1,88,31,1621982807
Pedasí,3703239,PA,-80.0333,7.5333,10.29,82.04,80,98,1621982807
Fuerte Olimpo,3438102,PY,-57.8738,-21.0415,1.59,74.66,43,20,1621982807
Poum,2138555,NC,164.0167,-20.2333,14.12,74.14,56,94,1621982807
Zelenoborskiy,463838,RU,32.3622,66.845,4.29,37.89,76,66,1621982808
Ubatuba,3445847,BR,-45.0711,-23.4339,4.99,63.93,79,62,1621982808
Praia,3374333,CV,-23.5087,14.9215,16.11,73.94,68,0,1621982808
Roblin,6125862,CA,-101.3565,51.23,18.25,38.84,82,99,1621982765
Nouakchott,2377450,MR,-15.9785,18.0858,17.49,73.33,64,2,1621982596
De Aar,1011632,ZA,24.0123,-30.6497,6.06,54.95,48,28,1621982809
College,5859699,US,-147.8028,64.8569,13.8,69.46,33,75,1621982809
Ponezhukay,506680,RU,39.3855,44.8876,3.83,56.86,93,5,1621982810
Miraflores,3761194,MX,-98.8083,19.2167,1.97,75.61,38,100,1621982810
Romny,695464,UA,33.4747,50.751,6.55,55.6,92,73,1621982810
Fortuna,5563839,US,-124.1573,40.5982,10.0,70.48,68,90,1621982811
Guacamayas,4026075,MX,-102.2167,18.0167,13.44,87.35,44,75,1621982811
Mangaratiba,3457991,BR,-44.0406,-22.9597,2.01,67.33,73,97,1621982811
Port Hueneme,5384339,US,-119.1951,34.1478,11.5,95.92,50,1,1621982688
Standish,5011020,US,-83.9589,43.9831,16.78,84.31,65,85,1621982812
Airai,1651810,TL,125.4092,-8.9266,4.12,61.63,83,24,1621982812
Vostochnyy,471501,RU,37.8667,55.8167,2.95,57.47,67,93,1621982812
Majene,1636806,ID,118.9707,-3.5403,8.32,78.6,87,98,1621982813
Barabash,2027142,RU,131.4833,43.2,3.06,51.48,41,24,1621982813
Suchedniów,757886,PL,20.8292,51.0478,9.84,51.03,91,100,1621982813
Nome,5870133,US,-165.4064,64.5011,11.5,69.87,24,1,1621982814
La Ronge,6050066,CA,-105.2842,55.1001,14.97,44.82,45,20,1621982694
Ushtobe,1517637,KZ,77.9838,45.2514,10.16,65.08,40,0,1621982814
Calgary,5913490,CA,-114.0853,51.0501,5.99,51.08,86,90,1621982344
Scharnstein,7872020,AT,13.9601,47.9044,7.74,43.45,87,20,1621982814
Kemin,1528606,KG,75.6892,42.7846,6.53,62.13,46,94,1621982815
Faya,110690,SA,42.4509,18.3851,3.74,69.91,40,40,1621982815
Buchanan,2278158,LR,-10.0467,5.8808,5.59,73.36,82,86,1621982815
Saint-Pierre,935214,RE,55.4781,-21.3393,8.05,73.04,77,0,1621982816
Marawi,1701054,PH,124.2928,7.9986,1.21,66.65,82,89,1621982816
Mapiripán,3792394,CO,-72.1256,2.8892,4.09,73.9,96,97,1621982816
Portland,5746545,US,-122.6762,45.5234,1.01,64.89,86,90,1621982481
Verkhoyansk,2013465,RU,133.385,67.5447,5.37,59.22,29,6,1621982817
San José de Río Tinto,3602066,HN,-85.7,14.9333,6.06,92.77,84,91,1621982817
Wanaka,2184707,NZ,169.15,-44.7,2.04,47.46,34,86,1621982818
Mayo,4362001,US,-76.5119,38.8876,8.99,80.55,78,1,1621982818
Härnösand,2707684,SE,17.9379,62.6323,14.12,51.01,78,100,1621982818
Caravelas,3466980,BR,-39.2481,-17.7125,7.65,74.46,90,52,1621982818
Catarman,1717926,PH,124.6377,12.4989,3.04,81.39,82,77,1621982819
Lamu,189741,KE,40.902,-2.2717,16.69,78.44,76,19,1621982819
Atar,2381334,MR,-13.0499,20.5169,13.44,88.27,17,55,1621982819
Araucária,3471697,BR,-49.4103,-25.5931,0.74,59.02,65,36,1621982557
Jizan,105298,SA,42.6667,17.3333,2.51,86.94,42,4,1621982820
Benghazi,88319,LY,20.0667,32.1167,12.17,73.27,54,1,1621982820
Sobolevo,525426,RU,31.8996,54.4299,7.56,53.49,81,95,1621982821
Talcahuano,3870282,CL,-73.1167,-36.7167,9.22,55.08,94,75,1621982821
Mayumba,2399001,GA,10.6554,-3.432,5.84,78.03,92,65,1621982821
Half Moon Bay,5354943,US,-122.4286,37.4636,12.44,79.74,64,20,1621982821
Tongliao,2034400,CN,122.2653,43.6125,4.21,62.08,20,98,1621982822
Bridlington,2654728,GB,-0.1919,54.0831,11.01,48.38,91,28,1621982762
Santa Catarina de Tepehuanes,3984571,MX,-105.7333,25.35,20.54,85.8,9,17,1621982822
Nantucket,4944903,US,-70.0995,41.2835,17.27,62.96,77,1,1621982823
Mīzan Teferī,330534,ET,35.5833,6.9833,2.86,60.8,95,99,1621982823
Ocós,3592086,GT,-92.1933,14.5094,7.78,85.32,66,97,1621982823
Barra do Garças,3470709,BR,-52.2567,-15.89,3.31,81.18,69,0,1621982824
Ürümqi,1529102,CN,87.6005,43.801,4.79,68.95,24,0,1621982824
Lantawan,1715775,PH,123.9833,10.6167,1.72,78.49,81,96,1621982824
Oyonnax,2988888,FR,5.6573,46.2592,3.22,50.13,84,36,1621982824
Isla Vista,5359864,US,-119.861,34.4133,6.91,88.68,47,75,1621982626
Abingdon,2657780,GB,-1.2828,51.6711,4.5,48.43,85,0,1621982824
Kysyl-Syr,2021017,RU,122.7617,63.8986,4.36,49.48,78,100,1621982825
Caraballeda,3646767,VE,-66.8522,10.6112,10.07,80.67,83,67,1621982825
